head	relation	tail
SNHG1	affects	JAK1
SNHG1	affects	TIMP4
SNHG1	affects	OSMR
SNHG12	affects	APAF1
SNHG12	affects	COL1A2
MIR17HG	affects	CCL5
SNHG12	affects	DUSP4
SNHG12	affects	PRKAA1
SNHG1	affects	HK2
SNHG12	affects	ITGB3
SNHG1	affects	CCNG2
SNHG12	affects	ID3
SNHG1	affects	CRYBG3
SNHG12	affects	EGFR
SNHG1	affects	IQGAP1
SNHG12	affects	JAK2
SNHG1	affects	FMNL2
SNHG1	affects	RAI14
SNHG1	affects	EGR1
SNHG1	affects	SMG1
SNHG12	affects	ABI3BP
SNHG1	affects	TEAD1
SNHG12	affects	HIPK2
SNHG1	affects	IL11
SNHG1	affects	RASSF1
SNHG12	affects	SLCO4A1
SNHG1	affects	VCAN
SNHG1	affects	PFN1
SNHG12	affects	AURKB
SNHG12	affects	BIRC5
SNHG1	affects	EPHA2
SNHG12	affects	NQO1
SNHG12	affects	AKAP9
SNHG12	affects	MYBL2
SNHG12	affects	CLOCK
SNHG1	affects	PRKAA1
SNHG1	affects	HMGA2
SNHG1	affects	ITGB3
SNHG12	affects	TBX2
SNHG12	affects	RB1CC1
SNHG12	affects	PAPPA
SNHG1	affects	WNT5A
SNHG12	affects	ATF2
SNHG1	affects	CDC20
SNHG12	affects	GPC6
SNHG1	affects	CDCA3
SNHG1	affects	ROBO1
SNHG12	affects	USP9X
PVT1	affects	PVT1
SNHG1	affects	S100A10
SNHG12	affects	SQSTM1
SNHG12	affects	PLK1
SNHG12	affects	GSK3B
SNHG12	affects	WNT7B
EPB41L4A-AS1	affects	CCND1
SNHG1	affects	HIPK2
SNHG1	affects	SLCO4A1
SNHG1	affects	KLF13
SNHG1	affects	AURKB
SNHG1	affects	CCNB1
PVT1	affects	RPPH1
SNHG12	affects	SMAD5
SNHG12	affects	SLC26A2
SNHG12	affects	RPS6
SNHG12	affects	BCAT1
SNHG12	affects	IGF2BP3
SNHG12	affects	KDM5B
SNHG12	affects	AKR1B1
SNHG1	affects	TBX2
SNHG12	affects	PDPK1
SNHG12	affects	BACH1
SNHG1	affects	RB1CC1
SNHG12	affects	SNHG8
SNHG1	affects	PAPPA
SNHG1	affects	GPC6
SNHG1	affects	TRIM25
SNHG12	affects	EPHX1
SNHG12	affects	ERRFI1
EPB41L4A-AS1	affects	MALAT1
SNHG1	affects	NAMPT
SNHG12	affects	FN1
SNHG12	affects	G3BP2
