Regulator	SearchregulatoryMechanism	Target
LINC00313	ceRNA or sponge	miR-4429
FAM83H-AS1	epigenetic regulation	CDKN1A
NEAT1	ceRNA or sponge	TGFB1
NEAT1	ceRNA or sponge	ZEB1
ZFPM2-AS1	interact with protein	MIF
SNHG1	transcriptional regulation	miR-448
SNHG1	ceRNA or sponge	IDO1
LINC00222	expression association	GSK3B
TP73-AS1	expression association	CASP3
TP73-AS1	expression association	CASP9
PVT1	ceRNA or sponge	miR-133a
FEZF1-AS1	interact with protein	PKM
DANCR	ceRNA or sponge	MMP9
HOTTIP	ceRNA or sponge	miR-216a-5p
PEG10	expression association	miR-3200
CCAT1	expression association	BMI1
GAS5	ceRNA or sponge	miR-301a
CCDC26	ceRNA or sponge	miR-203
CRNDE	epigenetic regulation	CDKN1A
LINC00858	ceRNA or sponge	CDK14
HOTAIR	ceRNA or sponge	ZEB1
HAGLR	ceRNA or sponge	ZEB1
TDRG1	interact with protein	VEGFA
LIFR-AS1	ceRNA or sponge	TNFAIP3
THORLNC	transcriptional regulation	YAP1
LINC00339	ceRNA or sponge	FOXM1
NNT-AS1	ceRNA or sponge	miR-129-5p
CBR3-AS1	expression association	TGFB1
CBR3-AS1	expression association	PHGDH
HOTAIR	expression association	CDKN1A
HOTAIR	interact with protein	RUNX3
ZEB2-AS1	ceRNA or sponge	HMGB1
FUNDC2P4	expression association	CDH1
SNHG12	interact with protein	ELAVL1
LNCRNA-ATB	ceRNA or sponge	YAP1
CYTOR	ceRNA or sponge	NRP1
MALAT1	ceRNA or sponge	HMGB1
NEAT1	ceRNA or sponge	STAT3
MALAT1	ceRNA or sponge	STAT3
SNHG5	ceRNA or sponge	CASP1
FOXP4-AS1	epigenetic regulation	LATS1
TUG1	ceRNA or sponge	miR-29c
LNCRNA-ATB	ceRNA or sponge	miR-126
SP1	transcriptional regulation	PANDAR
STAT1	transcriptional regulation	LINC00174
LINC00174	ceRNA or sponge	TAZ
TP73-AS1	ceRNA or sponge	EZH2
GAS5	ceRNA or sponge	miR-196a-5p
MIR22HG	ceRNA or sponge	DAPK1
MEG3	ceRNA or sponge	miR-21
MIAT	ceRNA or sponge	miR-133a
SOX21-AS1	epigenetic regulation	CDKN1A
DICER1-AS1	ceRNA or sponge	ATG5
CASC15	expression association	miR-33a-5p
FOXO1	epigenetic regulation	RP11-838N2.4
FTX	expression association	PPARG
MIR31HG	expression association	miR-31
BTG3-AS1	expression association	miR-21
CASC2	expression association	miR-24-3p
TFAP4	transcriptional regulation	TRERNA1
PVT1	expression association	TGFB1
PVT1	expression association	SMAD2
PVT1	expression association	SMAD3
PVT1	expression association	SMAD4
OIP5-AS1	ceRNA or sponge	miR-378a-3p
XIST	ceRNA or sponge	WNT1
LSINCT5	interact with protein	MYCNOS-01
PCSEAT	ceRNA or sponge	EZH2
PVT1	ceRNA or sponge	ULK1
MALAT1	ceRNA or sponge	miR-142-3p
NEAT1	epigenetic regulation	CDH1
KCNQ1OT1	ceRNA or sponge	EZR
SNHG1	epigenetic regulation	CDKN1A
linc-UFC1	ceRNA or sponge	LIN28B
SNHG7	ceRNA or sponge	GALNT7
UCA1	ceRNA or sponge	ABCB1
FENDRR	ceRNA or sponge	RUNX1
FEZF1-AS1	ceRNA or sponge	AKT3
NEAT1	ceRNA or sponge	IGF2
BCYRN1	ceRNA or sponge	miR-138
BCAR4	epigenetic regulation	MTOR
BCAR4	expression association	VIM
BCAR4	expression association	CDH2
BCAR4	expression association	CDH1
BLACAT1	ceRNA or sponge	ABCB1
TUG1	expression association	MKI67
TUG1	epigenetic regulation	HOXB7
TUG1	interact with protein	EZH2
TP53	transcriptional regulation	TUG1
CASC15	transcriptional regulation	SOX4
CASC2	ceRNA or sponge	PLXNC1
miR-21	ceRNA or sponge	CASC2
CASC2	expression association	miR-181a
CASC2	expression association	RASSF6
CASC2	ceRNA or sponge	PIAS3
CASC2	expression association	STAT3
CASC2	ceRNA or sponge	FBXW7
CASC2	ceRNA or sponge	miR-362-5p
CASC2	interact with protein	EIF4A3
CASC7	ceRNA or sponge	ING3
CASC8	interact with protein	FGFR1
CASC9	epigenetic regulation	PDCD4
CASC9	interact with protein	EZH2
CASC9	expression association	ABCB1
CAT104	ceRNA or sponge	ZEB1
CCAT1	ceRNA or sponge	miR-33a
CCAT1	interact with protein	BIRC7
CCAT1	ceRNA or sponge	CPEB2
CCAT1	ceRNA or sponge	BCL2L1
CCAT1	ceRNA or sponge	ZFX
CCAT1	ceRNA or sponge	ADAM17
CCAT1	ceRNA or sponge	WNT1
CCAT1	ceRNA or sponge	STAT3
CCAT1	ceRNA or sponge	ZEB1
CCAT1	ceRNA or sponge	CDK1
CCAT2	expression association	miR-145
CCAT2	ceRNA or sponge	miR-424
LINC00460	ceRNA or sponge	FOXA1
THORLNC	expression association	CTNNB1
LINC00319	ceRNA or sponge	KLF12
H19	expression association	miR-143
H19	expression association	RUNX2
