head	relation	tail
HULC	expression association	ITGB1
Lnc-NA	interact with protein	NR4A1
TUG1	expression association	MKI67
MALAT1	transcriptional regulation	TERF2
HOTAIR	epigenetic regulation	p16
MIAT	ceRNA or sponge	EZH2
UCA1	expression association	STAT3
DLEU1	expression association	miR-513a-5p
MALAT1	interact with protein	E2F1
LINC00052	expression association	STAT3
MALAT1	expression association	AURKB
XIST	ceRNA or sponge	SGK1
NRIR	interact with protein	FUBP3
SCAMP1-TV2	interact with protein	PUM2
HAND2-AS1	transcriptional regulation	BMPR1A
BRD4	transcriptional regulation	MAGI2-AS3
CRNDE	expression association	BCL2
MALAT1	ceRNA or sponge	SP7
PVT1	ceRNA or sponge	GREM1
FER1L4	ceRNA or sponge	PTEN
IPO7	ceRNA or sponge	MALAT1
HOXA11-AS	interact with protein	KDM1A
PNCTR	interact with mRNA	PTBP1
HCG11	ceRNA or sponge	FOXF1
MT1JP	expression association	CDKN1A
HOTTIP	transcriptional regulation	SGK1
YY1	transcriptional regulation	LINC01224
IQANK1	ceRNA or sponge	Girdin
NORAD	expression association	ROCK1
CDKN2B-AS1	expression association	CYCS
RUSC1-AS1	expression association	CDKN1A
SNHG6	expression association	WIPF1
MALAT1	ceRNA or sponge	NLRP3
HOTAIR	expression association	CDKN2A
PVT1	ceRNA or sponge	NCKAP1L
EZH2	expression association	UGP2
CASC15	ceRNA or sponge	WNT7A
CamK-A	interact with protein	NFKBIA
UCA1	epigenetic regulation	CDKN1B
NEAT1	ceRNA or sponge	CDK6
LINC00511	ceRNA or sponge	CCN1
SNHG6	ceRNA or sponge	miR-26b-5p
XIST	ceRNA or sponge	miR-186-5p
STAT3	transcriptional regulation	LINC02349
MIAT	expression association	DGCR8
UCA1	ceRNA or sponge	MYO6
LINC00628	expression association	BCL2
CRYBG3	interact with protein	EEF1A1
TUG1	ceRNA or sponge	miR-29a-3p
SNHG1	ceRNA or sponge	RICTOR
MALAT1	expression association	MCAM
FBXL19-AS1	ceRNA or sponge	RAF1
HOXC13-AS	ceRNA or sponge	HMGA2
SNHG18	expression association	E-cadherin
MIR210HG	ceRNA or sponge	miR-503
ADAMTS9-AS2	epigenetic regulation	CDH3
MEG3	ceRNA or sponge	miR-125a-5p
XIC	ceRNA or sponge	MIR454
PVT1	ceRNA or sponge	ECM1
PCAT1	ceRNA or sponge	miR-3667-3p
CASC2	ceRNA or sponge	MIR183
